idugns;nameUgns;shareStud;shareUgnsFromTotalStud;shareFromTotalStud;numberUniverImplEducation;numberOfBranches
1;21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия;37;6,60%;0,40%;11;0
6;21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия;3214,8;36,80%;33,20%;11;0
7;21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия;76,1;0,90%;0,80%;11;0
8;21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия;1141,9;13,50%;11,80%;11;0
11;21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия;658,2;2,80%;6,80%;11;0
12;21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия;89;0,50%;0,90%;11;0
13;21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия;1209,9;47,60%;12,50%;11;0
19;21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия;81;0,80%;0,80%;11;0
25;21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия;1610,6;51,00%;16,60%;11;0
29;21.00.00 - Прикладная геология, горное дело, нефтегазовое дело и геодезия;1500,6;57,20%;15,50%;11;0
