;totalNumberEmployees;TotalNumberTeaching;TotalNumberResearchers;PercentageTeachingStaff;researchersWithAcademic;PercentageTeachingStaffThan65Years;PercentageTeachingStaffThan40Years;AverageSalaryTeaching;AverageSalaryResearchers
1;1 058;116;457;77,59;29,98;88,79;31,03;616,97;213,92
2;127;110;2;82,73;100;97,27;26,36;165,45;162,8
3;880;244;42;67,62;64,29;59,84;17,21;160,72;140,66
4;2 577;331;254;75,23;62,99;74,32;30,51;188,87;184,86
5;1 543;373;65;67,29;69,23;68,36;23,06;172,12;167,51
6;2 141;829;34;70,81;52,94;66,59;25,09;199,44;369,69
7;1 460;688;10;63,08;40;72,09;26,02;170,55;120,71
8;2 192;579;124;66,84;59,68;78,76;32,64;175,07;225,29
9;6 790;1 589;625;67,09;55,52;85,59;38,58;217,21;243,24
10;2 673;651;37;70,97;67,57;64,21;26,57;188,55;381,32
11;4 094;1 556;27;73,33;85,19;85,28;35,03;202,8;231,21
12;2 862;1 133;5;72,73;40;69,29;23,48;196,6;200,94
13;469;254;3;83,46;100;84,25;17,32;162,17;162,17
14;4 096;1 479;24;69,1;91,67;61,12;21,23;164,36;191,22
15;1 508;676;11;66,12;54,55;66,12;22,63;149,17;214,52
16;554;292;0;43,84;0;60,96;11,99;169,79;0
17;787;339;14;67,26;71,43;71,98;30,09;221,98;147,59
18;2 079;702;118;71,94;29,66;76,21;32,91;162,17;308,01
19;1 938;697;38;87,09;86,84;84,22;25,82;164,4;211,31
20;1 146;645;7;59,22;14,29;77,52;25,43;167,79;189,78
21;1 450;523;25;72,47;56;68,83;27,72;165,17;163,99
22;2 919;1 080;32;65,65;50;77,04;31,94;180,13;316,58
23;571;220;1;70;100;70;16,82;162,78;30,4
24;6 015;1 883;132;65,22;40,91;65,53;24,8;163,96;175,46
25;633;290;14;56,21;21,43;66,9;23,45;137,05;72,24
26;430;242;4;91,32;50;85,54;32,64;196,91;188,92
27;582;174;11;78,74;72,73;86,21;32,76;164,4;166,47
28;3 002;994;58;71,83;62,07;62,37;25,45;189,85;535,25
29;451;201;8;75,62;37,5;54,73;19,9;172,24;168,38
