;amountFundsReceived;fundsPerformanceWorks;totalNumberPublications;NumberBusinessIncubators;NumberTechnoparks;NumberCentersScientific;NumberSmallEnterprises;NumberGraduateStudents;PercentagePostgraduates;numberDoctoral;NumberDissertation
1;3 098 940,80;3 443 813,70;250,72;0;0;7;0;504;100;0;7
2;43 639,00;43 639,00;60,55;0;0;0;0;44;59,09;0;0
3;948 705,50;989 815,10;442,02;0;0;2;0;118;100;0;1
4;3 399 969,00;3 498 835,30;415,08;1;0;3;17;891;100;0;154
5;677 059,90;776 529,60;311,64;1;2;4;12;182;97,25;1;5
6;662 504,40;662 504,40;357,51;0;0;2;4;457;81,4;4;10
7;83 122,30;83 122,30;353,98;0;1;1;7;224;89,73;0;2
8;1 748 818,50;1 859 272,90;545,18;0;0;2;23;670;100;0;1
9;4 904 943,90;4 967 209,50;210,42;1;0;0;15;1 191;100;0;19
10;1 522 086,60;1 563 454,90;912,01;1;1;2;12;602;100;0;11
11;518 437,60;625 573,30;769,45;1;0;2;9;4 087;94,4;4;43
12;858 078,40;858 078,40;438,24;0;1;0;0;646;88,08;13;9
13;111 574,20;111 574,20;459,82;0;0;0;2;109;74,31;2;2
14;2 058 141,20;2 098 894,40;340,17;1;2;1;4;527;90,7;4;16
15;346 816,80;346 816,80;161,88;0;0;1;16;226;92,92;0;2
16;49 649,10;49 649,10;288,49;0;0;0;0;61;44,26;0;1
17;171 412,90;176 480,50;395,22;0;0;1;0;361;100;7;4
18;927 717,10;980 331,90;589,02;0;0;1;4;463;90,71;5;8
19;803 200,20;803 200,20;1 114,30;1;0;2;2;388;89,69;6;13
20;33 913,90;33 913,90;639,59;0;1;1;0;276;100;0;5
21;494 413,40;586 590,90;460,97;1;2;1;22;329;93,31;10;11
22;829 639,50;921 254,40;127,15;0;1;1;0;600;94,33;3;10
23;3 364,30;3 364,30;379,83;0;0;0;0;84;100;0;1
24;2 219 600,20;2 278 452,50;551,9;1;2;3;20;871;75,89;0;20
25;85 468,40;85 468,40;164,02;0;0;0;3;120;78,33;2;0
26;129 572,90;129 572,90;342,23;1;1;2;2;558;93,01;0;4
27;141 169,70;179 128,90;1 331,88;0;0;0;1;96;23,96;0;1
28;1 265 956,00;1 654 505,70;570,7;0;0;8;9;561;95,37;1;26
29;31 458,50;31 458,50;435,71;0;0;0;3;45;88,89;0;5
