"iddistribution_student_organization_full_time";"number";"distribution_student_organization_subject"
1;"557";"очной формы обучения"
2;"688";"очной формы обучения"
3;"4 149";"очной формы обучения"
4;"7 664";"очной формы обучения"
5;"4 688";"очной формы обучения"
6;"8 523";"очной формы обучения"
7;"7 807";"очной формы обучения"
8;"8 415";"очной формы обучения"
9;"36 854";"очной формы обучения"
10;"5 821";"очной формы обучения"
11;"22 866";"очной формы обучения"
12;"15 407";"очной формы обучения"
13;"2 390";"очной формы обучения"
14;"15 999";"очной формы обучения"
15;"5 924";"очной формы обучения"
16;"1 991";"очной формы обучения"
17;"4 586";"очной формы обучения"
18;"10 749";"очной формы обучения"
19;"9 965";"очной формы обучения"
20;"7 262";"очной формы обучения"
21;"6 410";"очной формы обучения"
22;"26 359";"очной формы обучения"
23;"2 689";"очной формы обучения"
24;"22 566";"очной формы обучения"
25;"3 073";"очной формы обучения"
26;"4 160";"очной формы обучения"
27;"2 076";"очной формы обучения"
28;"12 915";"очной формы обучения"
29;"2 485";"очной формы обучения"
