idglossary;name;link;abbrevname
1;Сколковский институт науки и технологий;https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=113493;Сколтех
2;Московский информационно-технологический университет - Московский архитектурно-строительный институт;https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=2012;МАСИ
3;Московский технический университет связи и информатики;https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=1593;МТУСИ
4;Московский физико-технический институт (национальный исследовательский университет);https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=161;МФТИ
5;Московский институт электронной техники;https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=140;МИЭТ
6;Российский государственный университет нефти и газа (национальный исследовательский университет) имени И.М. Губкина;https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=219;Губкинский университет
7;Московский политехнический университет;https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=120111;Московский политех
8;Национальный исследовательский технологический университет «МИСиС;https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=59;НИТУ МИСиС
9;Национальный исследовательский университет «Высшая школа экономики»;https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=1766;НИУ ВШЭ
10;Национальный исследовательский ядерный университет «МИФИ»;https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=165;НИЯУ МИФИ
11;«Российский университет дружбы народов»;https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=222;РУДН
12;Российский университет транспорта»;https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=1566; РУТ (МИИТ)
13;"""Государственный университет по землеустройству""""""""""""""";https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=1639;ГУЗ
14;"Московский авиационный институт (национальный исследовательский университет)""""""""";https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=131;МАИ
15;Московский автомобильно-дорожный государственный технический университет (МАДИ);https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=132;МАДИ
16;Московский архитектурный институт (государственная академия);https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=133;МАРХИ
17;"Московский государственный технологический университет ""СТАНКИН""""""""""""""";https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=148;МГТУ Станкин
18;"""Национальный исследовательский Московский государственный строительный университет""""""""""""""";https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=144;НИУ МГСУ
19;"""Российский государственный аграрный университет - МСХА имени К.А.Тимирязева""""""""""""""";https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=1640;РГАУ-МСХА им. К.А. Тимирязева
20;"""Российский государственный университет им. А.Н. Косыгина (Технологии. Дизайн. Искусство)""""""""""""""";https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=151;РГУ им. А. Н. Косыгина
21;"""Российский химико-технологический университет имени Д.И. Менделеева""""""""""""""";https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=223;РХТУ имени Д. И. Менделеева
22;«МИРЭА - Российский технологический университет»;https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=134;РТУ МИРЭА
23;Московский государственный технический университет гражданской авиации» (МГТУ ГА);https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=1739;МГТУ Га
24;«Московский государственный технический университет имени Н.Э.Баумана (национальный исследовательский университет)»;https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=147;МГТУ им. Н.Э. Баумана
25;«Московский государственный университет геодезии и картографии»;https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=150;МИИГАиК
26;«Московский государственный университет пищевых производств»;https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=155;РОСБИОТЕХ
27;«Московский государственный университет технологий и управления имени К.Г. Разумовского (Первый казачий университет)»;https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=158;МГУТУ им. К.Г. Разумовского (ПКУ)
28;«Национальный исследовательский университет «МЭИ»;https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=162;МЭИ
29;Российский государственный геологоразведочный университет имени Серго Орджоникидзе»;https://monitoring.miccedu.ru/iam/2022/_vpo/inst.php?id=210;МГРИ
