idinfrastructure;c1;c2;c3;c4;c5;c6;c7;c8
1;193,04;0;0;0;193,04;2,11;67,99;3,59
2;8,67;0;0;8,67;0;0,35;100;45,7
3;27,15;0;27,15;0;0;0,47;43,65;150,21
4;14,93;0;14,67;0;0,25;0,39;37,11;107,08
5;17,29;0;17,02;0;0,27;0,8;33,58;82,51
6;15,2;0;15,2;0;0;0,28;25,54;135,63
7;18,32;0;18,32;0;0;0,92;29,26;272,82
8;18,64;0;18,64;0;0;0,66;31,69;126,71
9;8,58;0;8,4;0,12;0,07;0,3;63,49;15,52
10;28,78;0;28,78;0;0;1,03;32,18;134,92
11;26,6;0;9,78;0;0;0,3;63,1;84,58
12;15,24;0;15,14;0,11;0;0,43;48,82;156,39
13;20,56;0;20,56;0;0;0,34;31,95;164,09
14;19,28;0;19,28;0;0;0,28;30,18;169,07
15;19,19;0;19,19;0;0;0,4;18,23;190,74
16;10,13;0;9,88;0;0;0,2;38,64;118,29
17;10,17;0;10,17;0;0;0,34;15,64;151,27
18;15,21;0;15,21;0;0;0,4;13,39;146,7
19;27,61;0;27,61;0;0;0,43;44,63;309,32
20;14,15;0;14,03;0;0,09;0,37;51,64;147,95
21;12,77;0;12,77;0;0;0,44;62,67;264,91
22;9,06;0;8,79;0,26;0;0,33;80,43;81,66
23;20,96;0;20,96;0;0;0,42;29,87;385,52
24;11,8;0;11,62;0,19;0;0,39;33,36;114,78
25;18,06;0;18,06;0;0;0,47;20,02;125,88
26;17,69;0;17,69;0;0;0,38;31,69;306,19
27;12,05;0;11,67;0;0,37;0,4;57,26;230,9
28;14,02;0;14,02;0;0;0,58;31,66;115,26
29;23,78;0;23,78;0;0;0,25;68,24;113,34
