idinternational_activities;dd;aa;bb;cc;sd;dsa;jgjg;ks;jfhs;kghsh;ashfas;jashfagsf;hshshshs
1;14,18;7,18;17,18;11,45;5,73;0;0,54;12,06;82;13,69;4,17;205070,6;0
2;0,66;6,42;5,11;0,47;4,65;0;0;0;0;4,55;2,27;0;0
3;2,35;3,56;6,72;4,11;2,61;0;0;0,25;0;9,32;3,39;0;14767,4
4;4,18;12,28;9,96;1,87;8,09;0,38;0;4,59;101;11,67;6,4;33483,2;71137,4
5;2,38;3,93;6,52;2,21;4,31;0;0,02;0,65;6;10,44;1,1;0;22837,6
6;3,14;4,35;9,76;6,18;3,58;0,29;0,15;0,5;5;10,94;3,5;33921,9;99947,1
7;2,25;9,41;14,89;1,82;13,07;0,06;0,01;0,5;3;9,38;7,14;0;59047,7
8;3,84;11,77;25,45;4,55;20,91;0,31;0,14;2,09;21;11,79;17,91;2096,6;117363,1
9;3,7;8,08;10,87;4,27;6,6;1,84;0,96;5,58;222;5,54;5,79;71986;561636
10;8,12;15,61;29,32;10,58;18,74;4,33;1,89;5,77;118;4,49;6,64;21791,2;36324,1
11;19,18;9,57;27,18;17,95;9,23;1,08;1,85;8,36;239;35,16;13,41;516,8;1717091,1
12;2,25;2,17;4,99;2,95;2,04;0,18;0,04;0,21;6;4,8;1,08;0;131471,1
13;3,08;3,27;3,75;0,68;3,08;0;0,54;1,45;4;6,42;3,67;0;3635,4
14;6,37;2,93;6,64;5,17;1,47;0,01;0;0,78;0;6,83;0,76;18861,9;229693,4
15;4,21;3,29;7,48;5,6;1,88;0;0;0,34;3;27,43;3,54;0;0
16;1,64;3,52;3,48;1,86;1,62;0,35;0,25;0;0;3,28;0;0;28636,2
17;3,65;10,3;13,08;4,89;8,19;0,04;0;4,69;18;11,08;3,6;493,5;19072,5
18;3,62;3,3;7,05;4,31;2,75;0,16;0,01;1,1;4;20,73;4,1;10419,1;49224,6
19;3,32;1,64;8,94;6,35;2,58;0,15;0,02;0,84;8;15,72;1,8;6809;79780,9
20;1,78;4,88;6,47;1,71;4,76;0;0;0,29;2;9,78;3,62;0;43487,6
21;1,31;1,74;4,65;2,85;1,79;0;0;0;0;3,95;1,82;11014,1;23120,9
22;1,24;2,19;3,07;0,9;2,18;0,11;0;0,05;0;7,17;1,17;0;1159,4
23;1,69;3,14;4,36;1,59;2,77;0;0;0;0;0;0;0;16249,3
24;3,51;2;7,6;5,27;2,33;0,08;0,05;0,31;0;9,99;1,72;3001,6;60090,7
25;1,58;0,84;3,49;2,5;0,98;0;0;0;0;22,5;6,67;0;1163,3
26;1,48;11,01;5,61;0,89;4,71;0;0;1,59;4;5,91;5,91;215,4;16495,5
27;0,76;13,24;7,26;0,22;7,03;0;0;0,84;2;7,29;2,08;0;0
28;3,89;8,95;7,7;3,77;3,92;0,07;0;2,39;33;11,23;1,6;50462,5;18623,8
29;3,89;11,54;21,08;7,89;13,19;0;0;1,4;4;28,89;8,89;0;38106,8
