idTable_E;nameIndicator;year2018;year2019;year2020;year2021;year2022;medialValueRF;medialSubject;medialDepartment
1;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));15,84;17,05;16,85;21,31;21,36;5,91;7,09;4,97
2;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));14,13;8,86;7,25;7,04;7,09;5,91;7,09;4,97
3;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));5,89;5,1;5,85;5,82;5,91;5,91;7,09;5,36
4;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));9,63;11;12,54;14,41;16,45;5,91;7,09;7,29
5;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));4,55;4,98;7,36;6,94;6,31;5,91;7,09;7,29
6;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));9,81;9,2;8,89;8,06;7,49;5,91;7,09;7,29
7;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));14,49;17,74;16,93;14,41;11,67;5,91;7,09;7,29
8;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));24,29;26,14;22,84;18,82;15,61;5,91;7,09;7,29
9;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));8,85;9,56;10,76;11,78;11,78;5,91;7,09;7,46
10;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));20,07;21,83;27,96;27,78;23,74;5,91;7,09;7,29
11;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));27,28;28,49;28,61;28,9;28,75;5,91;7,09;7,29
12;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));3,67;4,03;4,57;4,44;4,42;5,91;7,09;4,42
13;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));6,18;6,72;6,29;6,2;6,35;5,91;7,09;6,9
14;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));4,65;5,76;6,91;8,19;9,3;5,91;7,09;7,29
15;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));6,34;5,42;5,68;7,03;7,5;5,91;7,09;7,29
16;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));3,23;4,13;3,99;4,31;5,15;5,91;7,09;7,29
17;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));13,02;11,18;10,31;11,83;13,95;5,91;7,09;7,29
18;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));5,32;5,78;7,01;6,42;6,91;5,91;7,09;7,29
19;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));5,21;5,28;5,56;5,54;4,96;5,91;7,09;6,9
20;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));7,62;7,47;7,23;6,9;6,66;5,91;7,09;7,29
21;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));3,04;3,46;3,15;4,47;3,05;5,91;7,09;7,29
22;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));2,18;2,48;3,48;3,54;3,43;5,91;7,09;7,29
23;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));7,46;5,29;4,86;4,85;4,83;5,91;7,09;4,83
24;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));5,01;5,13;5,34;5,5;5,52;5,91;7,09;7,29
25;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));4,91;3,03;2,11;2,32;2,42;5,91;7,09;7,29
26;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));5,45;6,58;12,11;11,92;12,49;5,91;7,09;7,29
27;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));8,75;8,23;8,56;10,09;13,99;5,91;7,09;7,29
28;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));8,85;9,71;11,1;12,52;12,84;5,91;7,09;7,29
29;E.3. Международная деятельность.(Удельный вес численности иностранных студентов, обучающихся по программам бакалавриата, специалитета, магистратуры, в общей численности студентов (приведенный контингент));18,4;18,34;18,32;18,11;15,43;5,91;7,09;7,29
